time,a_x,a_y,a_z
198768476.4339139,6.69897517698042e-07,-3.850075021823494e-06,-1.3681134948209957e-08
198811676.4339139,6.938099636032174e-07,-3.844881880312597e-06,-1.3756795078721002e-08
198854876.4339139,7.176780986169675e-07,-3.839539889670344e-06,-1.3832555054530781e-08
198898076.4339139,7.415009945319339e-07,-3.834049462413794e-06,-1.3908411678795761e-08
198941276.4339139,7.652777272959578e-07,-3.82841101681118e-06,-1.3984361757974339e-08
198984476.4339139,7.890073770461904e-07,-3.8226249768369876e-06,-1.4060402101984994e-08
199027676.4339139,8.126890281426916e-07,-3.816691772126898e-06,-1.4136529524363305e-08
199070876.4339139,8.363217692015084e-07,-3.8106118379325397e-06,-1.4212740842417631e-08
199114076.4339139,8.599046931272473e-07,-3.804385615076129e-06,-1.4289032877383714e-08
199157276.4339139,8.834368971451252e-07,-3.7980135499049393e-06,-1.4365402454577935e-08
199200476.4339139,9.069174828325079e-07,-3.791496094245631e-06,-1.4441846403549308e-08
199243676.4339139,9.3034555614994e-07,-3.784833705358471e-06,-1.4518361558230358e-08
199286876.4339139,9.537202274716562e-07,-3.7780268458914013e-06,-1.4594944757086588e-08
199330076.4339139,9.770406116155835e-07,-3.7710759838340035e-06,-1.4671592843264779e-08
199373276.4339139,1.0003058278728307e-06,-3.763981592471342e-06,-1.4748302664739962e-08
199416476.4339139,1.023515000036667e-06,-3.756744150337696e-06,-1.4825071074461143e-08
199459676.4339139,1.0466672564309923e-06,-3.7493641411701993e-06,-1.4901894930495732e-08
199502876.4339139,1.0697617299382964e-06,-3.7418420538623717e-06,-1.4978771096172694e-08
199546076.4339139,1.0927975580271097e-06,-3.7341783824175672e-06,-1.5055696440224385e-08
199589276.4339139,1.1157738827789494e-06,-3.726373625902334e-06,-1.513266783692708e-08
199632476.4339139,1.138689850914756e-06,-3.7184282883996958e-06,-1.5209682166240234e-08
199675676.4339139,1.161544613820829e-06,-3.710342878962362e-06,-1.5286736313944396e-08
199718876.4339139,1.1843373275742538e-06,-3.7021179115658603e-06,-1.5363827171777807e-08
199762076.4339139,1.2070671529678308e-06,-3.693753905061624e-06,-1.5440951637571692e-08
199805276.4339139,1.2297332555344995e-06,-3.6852513831300022e-06,-1.5518106615384227e-08
199848476.4339139,1.2523348055712678e-06,-3.6766108742332444e-06,-1.559528901563319e-08
199891676.4339139,1.2748709781626363e-06,-3.667832911568408e-06,-1.56724957552272e-08
199934876.4339139,1.297340953203532e-06,-3.6589180330202563e-06,-1.574972375769577e-08
199978076.4339139,1.3197439154217432e-06,-3.6498667811141018e-06,-1.5826969953317847e-08
200021276.4339139,1.342079054399861e-06,-3.6406797029686254e-06,-1.590423127924914e-08
200064476.4339139,1.3643455645967317e-06,-3.6313573502486763e-06,-1.598150467964804e-08
200107676.4339139,1.3865426453684172e-06,-3.621900279118054e-06,-1.6058787105800245e-08
200150876.4339139,1.4086695009886654e-06,-3.612309050192264e-06,-1.613607551624193e-08
200194076.4339139,1.4307253406688978e-06,-3.6025842284912825e-06,-1.621336687688168e-08
200237276.4339139,1.45270937857771e-06,-3.5927263833923084e-06,-1.629065816112103e-08
200280476.4339139,1.4746208338598914e-06,-3.582736088582517e-06,-1.6367946349973586e-08
200323676.4339139,1.4964589306549628e-06,-3.5726139220118333e-06,-1.644522843218292e-08
200366876.4339139,1.5182228981152377e-06,-3.5623604658456942e-06,-1.6522501404338944e-08
